date,site_id,habitat,species,abundance,temperature_c,precipitation_mm,phenology_stage
2023-01-15,Site_01,Forest,Quercus_alba,0,2.1,45.2,dormant
2023-02-15,Site_01,Forest,Quercus_alba,0,4.3,38.7,dormant
2023-03-15,Site_01,Forest,Quercus_alba,0,8.9,52.1,bud_break
2023-04-15,Site_01,Forest,Quercus_alba,12,15.2,67.3,leaf_emergence
2023-05-15,Site_01,Forest,Quercus_alba,18,20.8,43.6,full_leaf
2023-06-15,Site_01,Forest,Quercus_alba,22,24.1,89.4,full_leaf
2023-07-15,Site_01,Forest,Quercus_alba,20,26.7,34.2,full_leaf
2023-08-15,Site_01,Forest,Quercus_alba,18,25.3,67.8,full_leaf
2023-09-15,Site_01,Forest,Quercus_alba,15,21.4,78.9,senescence
2023-10-15,Site_01,Forest,Quercus_alba,8,14.6,92.1,senescence
2023-11-15,Site_01,Forest,Quercus_alba,3,8.2,67.4,dormant
2023-12-15,Site_01,Forest,Quercus_alba,0,3.7,51.3,dormant
2023-01-15,Site_02,Forest,Acer_rubrum,2,2.1,45.2,dormant
2023-02-15,Site_02,Forest,Acer_rubrum,3,4.3,38.7,dormant
2023-03-15,Site_02,Forest,Acer_rubrum,5,8.9,52.1,bud_break
2023-04-15,Site_02,Forest,Acer_rubrum,14,15.2,67.3,leaf_emergence
2023-05-15,Site_02,Forest,Acer_rubrum,18,20.8,43.6,full_leaf
2023-06-15,Site_02,Forest,Acer_rubrum,16,24.1,89.4,full_leaf
2023-07-15,Site_02,Forest,Acer_rubrum,14,26.7,34.2,full_leaf
2023-08-15,Site_02,Forest,Acer_rubrum,12,25.3,67.8,full_leaf
2023-09-15,Site_02,Forest,Acer_rubrum,10,21.4,78.9,senescence
2023-10-15,Site_02,Forest,Acer_rubrum,6,14.6,92.1,senescence
2023-11-15,Site_02,Forest,Acer_rubrum,2,8.2,67.4,dormant
2023-12-15,Site_02,Forest,Acer_rubrum,1,3.7,51.3,dormant
2023-01-15,Site_05,Grassland,Carex_pensylvanica,8,1.8,42.1,dormant
2023-02-15,Site_05,Grassland,Carex_pensylvanica,10,3.9,35.4,dormant
2023-03-15,Site_05,Grassland,Carex_pensylvanica,15,7.6,48.7,growth_initiation
2023-04-15,Site_05,Grassland,Carex_pensylvanica,28,14.1,62.9,active_growth
2023-05-15,Site_05,Grassland,Carex_pensylvanica,35,19.5,39.8,flowering
2023-06-15,Site_05,Grassland,Carex_pensylvanica,32,22.8,82.1,seed_set
2023-07-15,Site_05,Grassland,Carex_pensylvanica,28,25.4,28.9,seed_dispersal
2023-08-15,Site_05,Grassland,Carex_pensylvanica,25,24.0,61.5,senescence_begin
2023-09-15,Site_05,Grassland,Carex_pensylvanica,20,20.1,72.6,senescence
2023-10-15,Site_05,Grassland,Carex_pensylvanica,12,13.3,86.8,dormancy_prep
2023-11-15,Site_05,Grassland,Carex_pensylvanica,8,6.9,61.2,dormant
2023-12-15,Site_05,Grassland,Carex_pensylvanica,6,2.4,47.0,dormant
